NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Bennedict Mathurin,Ind,F,59,26.1,0.821,0.481,0.374,0.507,14.5,4,2,0.6,0.2,1.6
Daniel Theis,Lac,F-C,59,17.1,0.76,0.589,0.371,0.581,6.3,4.1,1,0.4,0.9,0.7
Bryce McGowens,Cha,G,59,14.9,0.776,0.523,0.333,0.513,5.1,1.7,0.9,0.4,0.2,0.5
Caleb Houstan,Orl,G,59,13.8,0.808,0.615,0.373,0.563,4.3,1.4,0.5,0.3,0.1,0.3
Chris Duarte,Sac,G,59,12.2,0.788,0.434,0.346,0.486,3.9,1.8,0.7,0.5,0.1,0.4
Dalen Terry,Chi,F,59,11.5,0.581,0.627,0.23,0.494,3.1,1.9,1.4,0.5,0.3,0.5
Kyrie Irving,Dal,G,58,35,0.905,0.548,0.411,0.573,25.6,5,5.2,1.3,0.5,1.8
Cameron Johnson,Bro,F,58,27.6,0.789,0.519,0.391,0.557,13.4,4.3,2.4,0.8,0.3,1
Lonnie Walker IV,Bro,G-F,58,17.4,0.763,0.471,0.384,0.528,9.7,2.2,1.3,0.6,0.3,0.9
Chris Paul,Gol,G,58,26.4,0.827,0.498,0.371,0.525,9.2,3.9,6.8,1.2,0.1,1.3
Trey Lyles,Sac,F,58,20,0.7,0.578,0.384,0.576,7.2,4.4,1.2,0.3,0.3,0.7
Jonathan Isaac,Orl,F,58,15.8,0.72,0.598,0.375,0.584,6.8,4.5,0.5,0.7,1.2,0.5
Justin Holiday,Den,F-G,58,14.9,0.75,0.569,0.404,0.595,4,1.2,1.2,0.6,0.2,0.2
KJ Martin,Phi,F,58,12.3,0.538,0.581,0.304,0.564,3.7,2.2,0.9,0.3,0.2,0.5
Zeke Nnaji,Den,F-C,58,9.9,0.677,0.5,0.261,0.483,3.2,2.2,0.6,0.3,0.7,0.5
Kristaps Porzingis,Bos,C,57,29.6,0.858,0.606,0.375,0.589,20.1,7.2,2,0.7,1.9,1.6
Darius Garland,Cle,G,57,33.3,0.834,0.501,0.371,0.524,18,2.7,6.5,1.3,0.1,3.1
De'Andre Hunter,Atl,F,57,29.5,0.847,0.521,0.385,0.547,15.6,3.9,1.5,0.7,0.3,1.5
Trey Murphy III,Nor,F,57,29.7,0.815,0.602,0.38,0.579,14.8,4.9,2.2,0.9,0.5,0.6
Josh Green,Dal,G,57,26.4,0.684,0.572,0.385,0.575,8.2,3.2,2.3,0.8,0.2,1.1
Nicolas Batum,Phi,G-F,57,25.9,0.714,0.6,0.399,0.599,5.5,4.2,2.2,0.8,0.6,0.7
Keon Ellis,Sac,G,57,17.2,0.743,0.578,0.417,0.612,5.4,2.2,1.5,0.9,0.5,0.6
Mo Bamba,Phi,C,57,13,0.68,0.537,0.391,0.553,4.4,4.2,0.7,0.4,1.1,0.7
Ben Sheppard,Ind,G,57,14.3,0.885,0.562,0.314,0.5,4.4,1.6,0.9,0.6,0,0.3
Andre Jackson Jr.,Mil,G,57,10,0.727,0.611,0.37,0.585,2.2,2,0.9,0.3,0.1,0.5
Jalen Johnson,Atl,F,56,33.7,0.728,0.574,0.355,0.562,16,8.7,3.6,1.2,0.8,1.8
Jose Alvarado,Nor,G,56,18.4,0.673,0.464,0.377,0.525,7.1,2.3,2.1,1.1,0.3,0.7
Dennis Smith Jr.,Bro,G,56,18.9,0.741,0.502,0.294,0.482,6.6,2.9,3.6,1.2,0.2,1.2
Jock Landale,Hou,C,56,13.6,0.8,0.578,0.25,0.539,4.9,3.1,1.2,0.4,0.6,0.6
AJ Green,Mil,G,56,11,0.895,0.519,0.408,0.599,4.5,1.1,0.5,0.2,0.1,0.2
Jordan McLaughlin,Min,G,56,11.2,0.722,0.5,0.472,0.628,3.5,1.3,2,0.6,0.1,0.3
Donovan Mitchell,Cle,G,55,35.3,0.868,0.539,0.368,0.545,26.6,5.1,6.1,1.8,0.5,2.8
